<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2026.07.09	17:30:00	175100	175155	175040	175060	22376	93658	1
2026.07.09	17:45:00	175060	175195	175050	175160	20868	87206	1
2026.07.09	18:00:00	175165	175390	175155	175330	36823	128536	1
2026.07.09	18:15:00	175325	175490	175255	175490	18349	69072	1
2026.07.10	09:00:00	175900	177675	175900	177630	173220	1465827	0
2026.07.10	09:15:00	177630	177890	177240	177485	102422	956420	0
2026.07.10	09:30:00	177490	177850	177475	177750	73973	627631	0
2026.07.10	09:45:00	177750	179300	177715	178315	99108	904790	0
2026.07.10	10:00:00	178310	178780	177995	178085	100131	804109	0
2026.07.10	10:15:00	178085	178295	177545	178020	106387	994123	0
2026.07.10	10:30:00	178020	178545	177865	177920	110464	1078181	0
2026.07.10	10:45:00	177925	178530	177825	178505	78486	813609	0
2026.07.10	11:00:00	178505	178850	178230	178415	89195	884895	0
2026.07.10	11:15:00	178415	178995	178400	178795	79780	839552	0
2026.07.10	11:30:00	178795	178915	178005	178665	86762	900753	0
2026.07.10	11:45:00	178660	179060	178635	178715	55158	526361	0
2026.07.10	12:00:00	178720	178755	178220	178260	46813	453616	0
2026.07.10	12:15:00	178260	178495	178170	178415	43682	435029	0
2026.07.10	12:30:00	178415	178420	178145	178345	33496	325715	0
2026.07.10	12:45:00	178340	178475	178205	178430	32191	318399	0
2026.07.10	13:00:00	178430	178840	178415	178815	35708	352499	0
2026.07.10	13:15:00	178810	179215	178795	179155	39652	402794	0
2026.07.10	13:30:00	179160	179340	179070	179270	36872	368598	0
2026.07.10	13:45:00	179270	179545	179265	179375	35216	378939	0
2026.07.10	14:00:00	179375	179450	179260	179415	28002	271952	0
2026.07.10	14:15:00	179415	179475	179240	179345	27941	295122	0
2026.07.10	14:30:00	179350	179455	179315	179395	16733	173997	0
2026.07.10	14:45:00	179390	179430	179240	179335	19485	213216	0
2026.07.10	15:00:00	179330	179865	179325	179810	43845	514617	0
2026.07.10	15:15:00	179810	179940	179710	179735	29869	306503	0
2026.07.10	15:30:00	179735	179785	179585	179630	22668	221335	0
2026.07.10	15:45:00	179630	179650	179410	179495	25987	263806	0
2026.07.10	16:00:00	179490	179715	179425	179585	27370	307410	0
2026.07.10	16:15:00	179585	179760	179560	179685	19422	217240	0
2026.07.10	16:30:00	179680	179720	179605	179670	15628	178067	0
2026.07.10	16:45:00	179665	179955	179655	179925	25000	294254	0
2026.07.10	17:00:00	179925	180390	179905	180260	38665	423003	0
2026.07.10	17:15:00	180255	180495	180235	180400	18043	179993	0
2026.07.10	17:30:00	180395	180495	180350	180410	11151	103981	0
2026.07.10	17:45:00	180405	180595	180400	180440	14247	122607	0
2026.07.10	18:00:00	180445	180670	180400	180495	14757	116241	0
2026.07.10	18:15:00	180500	180665	180485	180605	5592	44793	0
2026.07.10	18:30:00	180515	180515	180515	180515	101	8686	0
2026.07.13	09:00:00	179670	180235	179475	179675	123844	943090	0
2026.07.13	09:15:00	179675	180075	179540	179855	80952	680962	0
2026.07.13	09:30:00	179850	180160	179725	180065	66855	565700	0
2026.07.13	09:45:00	180065	180220	179815	180145	69040	591176	0
2026.07.13	10:00:00	180150	180245	179605	179950	115158	1099476	0
2026.07.13	10:15:00	179950	180030	179345	179495	84509	770445	0
2026.07.13	10:30:00	179490	179920	178955	179300	123268	1150849	0
2026.07.13	10:45:00	179305	179585	179080	179455	79546	703818	0
2026.07.13	11:00:00	179450	179495	179050	179195	77389	667078	0
2026.07.13	11:15:00	179195	179255	178690	178995	83600	771970	0
2026.07.13	11:30:00	178995	179065	178490	178600	58890	504816	0
2026.07.13	11:45:00	178595	178795	178535	178775	41554	406202	0
2026.07.13	12:00:00	178775	178850	178290	178350	51371	461102	0
2026.07.13	12:15:00	178355	178520	178280	178470	40525	388004	0
2026.07.13	12:30:00	178475	178595	178390	178425	33214	312417	0
2026.07.13	12:45:00	178425	178555	178250	178365	34124	321092	0
2026.07.13	13:00:00	178360	178450	178320	178380	22876	235023	0
2026.07.13	13:15:00	178380	178400	178230	178270	29022	315881	0
